,app,purpose,amount,ticker,remarks,rewards,rewards ticker,prices,value,rewards prices,rewards value,total value
0,swell,Supply (L2),0.0694,RSWETH,,,,2704.426996693082,187.6872335704999,,0,187.6872335704999
1,Ethena ,Supply,206.0,USDC,USDE,,,1.0000226431508437,206.0046644890738,,0,206.0046644890738
2,Wallet,hodl,0.066,ETH,ARB network,,,2662.8248146641627,175.74643776783475,,0,175.74643776783475
3,Wallet,hodl,122.73,ETHFI,,,,1.80297332092159,221.27891567670673,,0,221.27891567670673
4,Wallet,hodl,553.27,MODE,,,,0.013285905986540723,7.3506932051733855,,0,7.3506932051733855
5,Wallet,hodl,4.84,MNT,,,,0.6448794375194233,3.1212164775940088,,0,3.1212164775940088
6,Wallet,hodl,0.001,ETH,BNB chain,,,2662.8248146641627,2.662824814664163,,0,2.662824814664163
7,Wallet,hodl,2.11,USDC,,,,1.0000226431508437,2.11004777704828,,0,2.11004777704828
8,Wallet,hodl,306.0,W,,,,0.31395789394548856,96.0711155473195,,0,96.0711155473195
9,Wallet,hodl,246.65,ALT,,,,0.13099808290977072,32.310677149694946,,0,32.310677149694946
10,swell,Supply (L2),0.1157,WEETH,,,,2796.54,323.55967799999996,,0,323.55967799999996
11,Wallet,hodl,0.07586,WEETH,,,,2796.54,212.1455244,,0,212.1455244
